sentiment,statement
1,"- The Group - s sales during the period were EUR 31.6 million EUR 36.6 million , 1-6/2007 and profit before taxes was EUR 0.2 1.3 million ."
2,"According to Bosse , the present cooperation is beneficial to all parties , however ."
0,"Compared with the FTSE 100 index , which rose 36.7 points ( or 0.6 % ) on the day , this was a relative price change of -0.2 % ."
1,The new name of the Sanoma Division will be Sanoma News .
2,"More than 200 volunteers from Fiskars , the garden tool company , Home Depot ( NYSE : HD ) , the city of Baltimore and the neighborhood are working right now to create a garden sanctuary - in a single day ."
2,Finnish Okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and Norwegian solar wafer company NorSun have signed a contract under which Okmetic will supply NorSun mono silicon crystals for use in solar cell manufacturing .
1,"The company will publish its financial statement for 2008 on February 25 , 2009 ."
0,"Cuts equivalent to the costs of about 35-45 employees are the target , the company said ."
1,The terms and conditions of the year 2003 stock option scheme were published in a stock exchange release on 31 March 2003 .
1,"Also in Latvia , we act as a partner for bakery customers in both production and product development ."
2,"At the same time , sales development in Russia was boosted by the opening of Stockmann Nevsky Centre in St Petersburg ."
0,Bosse added that Trygvesta does not have the financial strength to acquire the entire unit .
1,"The Committee proposes the following remuneration : a monthly remuneration of EUR 5,000 for the Chairman , EUR 3,500 for the Deputy Chairman , and EUR 2,500 for the other Board members ."
1,The customers will have an access to integrated propeller and gear packages from one source .
1,"The rewards to be paid on the basis of the earning period 2011 will correspond to the value of a maximum total of 364,000 Componenta Corporation shares including also the proportion to be paid in cash ."
1,"`` If you need malware removal tools , type the URL of your vendor of choice directly into the browser bar and use links on their website , '' wrote Trend Micro 's Rik Ferguson on Monday ."
1,The deliveries started in April 2006 and will be completed in 2007 .
1,"Following the registration , the number of issued and outstanding shares of Basware is 12,890,829 ."
1,"For the purposes of the possible acquisition , PKC would establish a subsidiary in Poland ."
1,The restructuring measures will not affect the production of packaging printing material .
1,The cooperation with airBaltic is expected to lead to the transfer of Finncomm to the ownership of airBaltic in time .
1,"` Patja has worked well for us for more than a decade , and Fujitsu 's new bid was competitive ."
0,"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday ."
2,Growth is expected to continue in 2008 .
1,SAMPO PLC Jarmo Salonen Head of Investor Relations and Group Communications tel. +358 10 516 0030 Distribution : NASDAQ OMX Helsinki The principal media Financial Supervisory Authority www.sampo.com This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .
0,"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 ."
1,The center will be built in the Kapuli district of Mantsala beside the Hanko-Mantsala-Porvoo road near the new direct rail link between Lahti and Jarvenpaa .
2,"The financial impact is estimated to be an annual improvement of EUR2 .0 m in the division 's results , as of fiscal year 2008 ."
0,Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .
1,"The hosting mobile terminal guides information flow between itself , the participating terminals , and optionally , with network servers that may assist the hosting mobile terminal ."
2,CEO of the company Tarmo Noop said the growth in the sale of premium beers was the biggest .
1,"Most of the growth in beer consumption took place in the Far East , Latin America and Africa ."
1,`` They 've already allocated money for the inventory .
0,Net sales have been eaten by the weak US dollar .
2,"The three year turn-around program is expected to ensure Salomon 's future competitiveness , the company said ."
0,Operating profit fell to EUR 15.1 mn from EUR 24.6 mn in 2006 .
1,Travel expenses would be reimbursed in accordance with the travel policy of the company .
2,"With the launch of new 3G handsets , Nokia aims to become the winner in China 's 3G market as it did in the 2G market ."
0,"`` This is super nasty , '' said Eric Schultze , chief technology officer at Shavlik Technologies LLC , a St. Paul , Minn.-based maker of patch management tools ."
2,"Helsingin Uutiset , Vantaan Sanomat and Lansivayla reach some 385,000 readers , or more than 40 % of the consumers in the greater Helsinki region ."
1,"Remote Phone Management demonstrates SysOpen Digia 's unique end-to-end offering for operators , handset manufacturers and enterprise customers ."
2,"Asimilar agreement was signed between China Mobile Ltd. ( SEHK : 0941 and NYSE : CHL ) , the largest mobile carrier , and theGPS and social networking service provider , promoting GyPSii service before Beijing 2008 Olympic Games , according to thelatest news ."
2,"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier ."
1,"In today s business , you have to pre-empt what consumers want , said Mohammed Zainalabedin , General Manager , Zain Bahrain ."
1,Finnish Nordic Aluminium is starting employer-employee negotiations in Finland that concern all staff groups .
2,"MANAVIGATOR-September 7 , 2010-Kemira unveils Indian JV with IVRCL Finnish chemicals group Kemira ( HEL : KRA1V ) on Tuesday announced it has inked a deal to form a joint venture in India with local construction firm IVRCL Infrastructure and Projects Ltd ( BOM :530773 ) ."
2,"According to Sepp+Ænen , the new technology UMTS900 solution network building costs are by one-third lower than that of the building of 3.5 G networks , operating at 2,100 MHz frequency ."
1,"The casing comprises a first side casing member provided with the first side vat segment and a second side casing member provided with the second side vat segment , at least the first side casing member being pivotable about a rotation axis ."
1,Finnish department store group Stockmann is planning to acquire about EUR 141mn through a directed issue and a rights offering .
1,Earnings per share were EUR -0.04 -0.06 .
1,Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .
1,"It also includes the installation of new equipment , training and start-up services , as well as service work of the shoe press delivered by Vaahto in 2001 ."
2,"Finnish-owned contract manufacturer of electronics Elcoteq Hungary Kft has announced plans to recruit more than 650 new staffers to fulfill new orders in P+_cs , where the company has two plants ."
1,Performance is based on values and sustainability .
2,"Of the sales price , a sales gain of some 3.1 mln euro ( $ 4.5 mln ) will be recognized in Incap 's earnings for 2007 ."
1,"Exel 's board of directors will propose a dividend of 0.2 euro $ 0.3 per share for 2006 at the annual general meeting on April 19 , 2007 ."
1,"Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners ."
1,"Finnish printed circuit boards ( PCBs ) maker Aspocomp Group Oyj said on December 4 , 2006 it named Henry Gilchrist senior vice president of the group 's Asian operations , as of January 8 , 2007 ."
2,This acquisition supports our strategy of being close to our customers all around the world offering both equipment and related services .
1,"The board machine , which will have a wire width of 6.25 m and a design speed of 900 m-min , will produce close to 1,400 tonnes of folding boxboard per day ."
1,"In 2007 , Huhtamaki will continue to invest in organic growth ."
1,The sellers were EOSS Innovationsmanagement and a group of private individuals .
0,Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 .
1,The four-year contract between the bank and Ski Sport Finland will bring the bank 's advertisements to skiers helmets and caps .
1,"Aspocomp said it will spin off its Chinese and Indian units , and some equipment from its Salo plant in Finland , into a newly-formed unit , most of which it will then sell on to Hong Kong-listed Meadville ."
0,Kone said in court papers that the union action delayed repairs to elevators at the federal courthouse on Jan. 21 and the Saltonstall state office building on Jan. 23 .
1,Net sales in 2007 totalled EUR 329 million and the operating margin was above 19 % .
0,ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces .
1,"Thanks to the development of a system that enables it to trace the origin of all the palm oil that it uses , it knows exactly where and how its palm oil has been produced ."
1,Peigs www.peigs.se will become part of Sardus Latta Maltider Light Meals unit .
1,"As a result of the merger , the largest professional electronics and telecommunications technology contract manufacturing center in Finland will be formed in Sievi ."
1,The new organization consists of two business units : Charging & Messaging and Finance & Administration .
1,Currency conversions are based on exchange rates at the time of the deal .
1,The company also said that it will sell approximately 150 hectares of land to the city of Valkeakoski by the end of the year a part of its `` From job to job '' program .
1,All reproduction for further distribution is prohibited .
2,The agreement expands Tekla Structures ' scope of use to bridge design .
1,"HK Ruokatalo produces many turkey products , such as cold cuts ."
2,"Based upon its unique fiber expertise and innovative approach , the company has a strong market position in several business areas in which it operates ."
1,Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland .
1,The agreement with JM is one in a series of contracts that TeliaSonera has signed in recent months with residential construction and real estate management companies in Sweden .
1,"YIT acquired investment rights to a 10,000 square metre residential project in Yaroslavl and to a 16,400 square metre project in Moscow ."
1,25 November 2010 - Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) said today that Finnish state-owned investment company Solidium Oy sold its 14.7 % stake in the company for a total of EUR98m .
2,"Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland ."
2,"Danske Bank A-S DANSKE DC jumped 3.7 percent to 133.4 kroner , rebounding from yesterday s 3.5 percent slide ."
1,The trucks feature an Eco Drive system - a fuel measuring tool which stores data particular to individual drivers .
2,One attractive factor about the tablets for media companies is that they provide a new way of making money .
1,"Following its strategy , Tikkurila has established a fully-owned sales company TOO Tikkurila in Almaty , Kazakhstan , for marketing decorative paints under the Finnish Tikkurila brand and the Russian Teks brand ."
1,com and possibly also through photo-msn .
1,"With the second phase of the new Innova building , Tecnopolis presence in Jyvaskyla will increase to a total of approximately 62,000 floor square meters ."
1,"Back then , Tikkurila 's former owner , Finnish chemicals company Kemira Oyj HEL : KRA1V , distributed an 86 % stake to Kemira shareholders to facilitate the divestment and listing of Tikkurila ."
2,"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now extend these services to its customers ."
1,Electronic versions require 24-48 hours as each copy is customized to the client with digital controls and custom watermarks .
1,The new shares entitle their holders to dividends for fiscal 2006 .
2,Olvi expects sales and market share to increase in the first quarter of 2010 .
1,Investments are not disclosed .
1,`` We want to serve K-citymarket customers by offering them interesting and topical selections .
1,Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .
1,"On the basis of competitive bidding OOO Kitai Stroi , the Russian subsidiary of China State Construction Engineering Corporation , a construction company owned by China State , has been selected as the main constructor ."
2,"ASPO Plc STOCK EXCHANGE ANNOUNCEMENT May 4 , 2006 at 10:00 a.m. An increase in the share capital of Aspo Plc totaling EUR 1,125.60 was registered today ."
1,"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 ."
1,These six agreements are the company 's first customer acquisitions in India since taking over TVS Electronics ' contract manufacturing facility in Jun 2007 .
2,"The EBITDA was EUR116m compared to EUR115m , corresponding to an EBITDA margin of 33 % ."
2,"GeoSentric Oyj s GeoSolutions Business Unit GyPSii , the mobile digital lifestyle application and geo-mobility social networking platform , has signed an agreement with Nanjing MyNet to make the GyPSii mobile social networking platform available to customers of China Mobile ."
0,Finnair believes the strike will cause it daily net losses in excess of EUR 2mn due to canceled reservations and passenger re-routing .
0,"Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 ."
1,`` We know there are some of our own people out there . ''
0,"TeliaSonera 's underlying results however included 457 mln skr in positive one-offs , hence the adjusted underlying EBITDA actually amounts to 7.309 bln skr , clearly below expectations , analysts said ."
2,"The company , which celebrates its fiftieth anniversary next year , has been exporting distinctive detached homes to Central Europe for several decades ."
0,"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn ."
1,`` The flex is a small price to pay for happy lenders . ''
1,Valga Lihatoostus markets its products under the Maks & Moorits trademark .
1,This PC application allows users to copy files and other data from their Nokia mobile device to their computer as well as create backup content .
2,The deal strengthens Ramirent 's position especially in the industrial sector and in large investment projects .
1,"Since inception in 1999 , Access ' stable management team has remained disciplined and focused on the proactive screening , selection and management of European small to mid-market buy-out funds of funds and mandates ."
1,The shipyard hopes the regional government in Andalusia can offer its some form of financial support .
1,The value of the order is USD 2.3 mn .
2,The optimization of the steel components heating process will reduce the energy consumption .
2,"Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete ."
1,"We have sound experience of project deliveries for large multi-purpose complexes and sports arenas '' , says Sami Eronen , SVP , Infrastructure and Northern Europe , Ruukki Construction ."
0,Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .
1,"The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , both in southwestern Finland , from where they will be delivered to VR for welding and assembly ."
0,"So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons ."
2,"HELSINKI , Finland , Sept. 18 , 2009 ( GLOBE NEWSWIRE ) -- Ixonos Plc expands the company 's smartphone R&D services and establishes a new next-generation smartphone design unit in connection with Ixonos ' site in Jyvaeskylae ."
1,It has been agreed with the company 's Board of Directors that she will be available in an advisory role .
1,"QPR has an established international customer base , spread over 70 countries in 2009 , and a variety of organizations including banks , manufacturing companies , service companies and government authorities ."
1,Currently more than 100 of Global Fortune 500 companies are using SSH security solutions .
1,"`` Each year , personal entertainment plays a more significant role in determining whether a fitness facility 's workout experience is pleasurable or a chore , '' said Brian Wilson , director of marketing for Precor 's Entertainment & Services Division ."
1,"A corresponding increase of 85,432.50 euros in Ahlstrom 's share capital has been entered in the Trade Register today ."
1,Stora Enso will record a capital gain of EUR 33 million as a non-recurring financial item in its fourth quarter 2006 results .
1,( A spokesperson told WWD to expect a 50-50 mix of clothing and home decor . )
0,"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri"
1,Pohjola could increase its stake to 45 % in 2013 .
1,"In addition , YIT has reserved EPI Russia the right to expand the logistics center by about 100,000 m2 ."
1,"The portfolio comprises of 118,000 m2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the Swedish government and Ericsson ."
1,"As part of the reorganisation , Pohjola Insurance 's 250 field staff for private customers will join the payroll of local cooperative banks from the beginning of October 2008 ."
2,"In the Homeware area , Fiskars provides leading branded products for home , kitchen , and interior design ."
1,"The acquisition is part of Suomen Helasto 's strategy to expand the LukkoExpert Security chain , Suomen Helasto CEO Kimmo Uusimaki said ."
1,"Fortum holds 90.2 pct of the share capital and 94.4 pct of the voting rights in the company , which it now plans to delist from the Warsaw Stock Exchange ."
2,"Again , the most significant sales increase of 18.6 % was in Russia ."
1,"Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room , Aleksanterinkatu 17 , the same day at 12:30 - 1:30 p.m. Light lunch will be served ."
1,The reductions will be implemented mainly in the course of the first half of 2009 .
1,Elcoteq has a global network of After Market Service sites which have a long experience in serving Consumer Electronics and Systems Solutions customers .
1,The acquisition of AVC Systemhaus and the majority stake in Cableway will increase the number of Teleste personnel by 250 .
1,"The business goals for 2009 will realize with the temporary lay-offs carried out in the summer of 2009 , and with other savings measures ."
2,The proportion of Estonian and Lithuanian passengers on the Tallinn-Helsinki route also grew in July .
2,"`` I 'm pleased to receive the Nomination Committee 's request and confidence , '' says Jon Risfelt ."
2,"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier ."
0,It is the most awkward thing to use if you 're holding the phone with one hand .
1,"Typical end-uses include roof structures , floorings , walls and ceilings , non-visible structures in vehicles , packaging and boxes , construction site structures , fencing and shelters , and formwork with a limited number of concrete pourings ."
1,"In the second quarter of 2009 , net sales through operator business partners represented 47 % of the Group 's total net sales ."
2,"However , the broker gave an `` outperform '' recommendation on the stock ."
2,"3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal ."
2,"`` We 're delighted with the move '' says Morna Cowie , co-owner , above , `` it 's double the size of our current shop and has a lovely feel to it . ''"
2,DMASIA-16 August 2006-Benefon extends manufacturing capability with ASMobile -_ 2006 Digitalmediaasia.com & DMA Ltd. .
1,Closing of such transaction took place today .
2,Sanoma Magazines ' net sales are estimated to grow in 2006 .
1,"As reported June 26 , `` both circuits continued to alternately report the track as vacant and then occupied almost constantly from June 17 , when part of the track signaling device was replaced , to the time of the crash , according to the Metro source . ''"
1,Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .
2,"Re-use back into PET bottles has also steadily increased and the rate of use in strapping tape has picked up again after a dip in 2005 , Petcore said previously ."
2,The mill has long traditions and holds an established position in the markets .
1,`` These developments partly reflect the government 's higher activity in the field of dividend policy . ''
1,"She will succeed Krister Kylas , who has decided to leave TeliaSonera ."
0,The real estate company posted a net loss of +  x201a -õ 59.3 million +  x201a -õ 0.21 per share compared with a net profit of +  x201a -õ 31 million +  x201a -õ 0.11 per share for the corresponding quarter of 2007 .
1,"The most interesting export markets will be Russia , the Baltic countries and Scandinavia ."
1,"At the end of March 2009 , the company 's loans amounted to EUR 10.113 mn ."
1,"The floor area of the Yliopistonrinne project will be 7,900 sq m and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been let ."
1,The company 's net sales in 2009 totalled MEUR 307.8 with an operating margin of 13.5 per cent .
2,"Pretax profit totalled EUR 2.0 mn , compared to a loss of EUR 159.2 mn in the fourth quarter of 2008 ."
1,"In 2007 , the Group 's net sales stood at EUR 42 million and it had about 1,445 employees ."
1,Financial details were not disclosed .
1,"The plant will go on stream in November 2008 and its estimated daily production will be 120,000 litres of bioethanol ."
1,"The order includes a new Crecent former , headbox , and reel ."
2,Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .
0,The Department Store Division 's sales fell by 8.6 % to EUR 140.2 mn .
1,"Under the plan , which CSES worked out together with Public Policy Management Institute ( PPMI ) and other partners , buildings with a total area of 10,000 square meters should be built on the territory in the first phase ."
2,Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn .
1,"It 's even a little bit higher than Yara 's multiples on itself , ' an analyst in Helsinki said ."
2,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 ."
1,"The Finnish company is building a 800,000 mt-year biodiesel plant in Singapore ."
1,` Pulp and paper industries are growing in countries like China and Russia .
2,`` Our design team has long admired Marimekko 's vivid patterns and colors .
0,"Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn ."
2,"Xerox and Stora Enso have teamed up to tailor the iGen3 to the short-run , on-demand packaging market ."
1,ZAO YIT Moskovia builds housing in Moscow and its surrounding cities .
1,"The Group owns and operates a fleet of more than 800dwt , while container capacity is 17,000 TEUs , and manages a diversified fleet of its own railway rolling stock of over 17,000 units ."
1,The intent of the article was to focus attention on the fact that the development model that China had followed was very different than the model that India had followed .
1,"Oka specialises in new construction , renovation work of residential and non-residential building as well as premises for industrial and logistical use ."
1,"Creating interfaces that are more similar to interactions in the real world can enable experiences that are more natural and intuitive , in the same way that modern games and movies are more immersive through the use of realistic 3-D graphics ."
1,Its total annual revenue comes up to about 160 mln zloty ( $ 56.9 mln-42 .3 mln euro ) .
1,The net sales of Healthcare Trade business in 2009 were EUR 145.1 million EUR 155.2 million and operating profit EUR 8.9 million EUR 7.9 million .
1,"The Whitehall Street Real Estate Funds invest in real estate and real estate related assets , principally through the acquisition of real estate companies , real property and mortgage loans ."
1,"Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing a project in St Petersburg , comprising about a million square meters of residential space , two hospitals and several schools and nurseries ."
2,"Dubai Nokia has announced the launch of `` Comes with Music '' , its ground-breaking service which introduces a new way for people to enjoy music ."
1,"Prior to the transaction , whose financial terms have not been disclosed , Alma Media owned 40 % of Kotikokki net ."
1,The divested stake represented about 2.7 m shares in Okmetic 's capital .
2,"Tim Cockroft brings with him an excellent track record having more than 18 years experience ; moreover , Tim has successfully developed the Capital Markets operations at Kaupthing Singer & Friedlander involving corporate finance and broking with a focus on mid-market companies ."
0,The company decided at the end of 2008 to temporarily shut down its ammonia plant in Billingham and extend the maintenance period at its Ince facility .
1,"The Group 's turnover in 2006 was EUR 39.2 million , and operating profit was EUR 3.9 million ."
1,"The important thing now is to keep the bank 's existing 15,000 customers ."
2,"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 ."
1,Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) announced today the launch of Tikkurila ProHouse method for protection of wooden surfaces via treatment with Ultra Pro waterborne products .
1,Delivery is due in the second half of 2011 .
1,No financial details were disclosed .
2,"Repair and maintenance business accounted for net sales of EUR 645.3 mn , up from EUR 563.6 mn ."
1,"The mill will have capacity to produce 500,000 tonnes of pulp per year ."
1,Capitex Kalmar will continue to be responsible for the maintenance and technical development of the services .
0,"Finnish Vaahto Group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland ."
1,Earnings per share EPS in the first quarter amounted to a loss of EUR0 .20 .
1,"In Finland , Martela offers a comprehensive service that can cover the entire process of change from initial inventory and design to removal and maintenance ."
1,"The purchase of sites worth 300 million in the Thames Gateway will provide more than 1,200 homes ."
1,"Combined with the Basware Enterprise Purchase to Pay portfolio , it provides a high level of automation for procurement and invoice workflows ."
1,The contract involves refurbishing the bathrooms of 189 units as well as re-plumbing their water and sewer pipes .
2,Operating profit improved to EUR 20.3 mn from EUR 11.4 mn .
0,Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .
0,"We have also cut our price projections for paper and packaging , '' an analyst with Goldman Sachs said on a note on Monday ."
1,"Established in 1987 , the SRV Group is a private Finnish construction concern with operations in Finland , the Baltic countries and Russia ."
1,The total value of the deliveries is some EUR65m .
2,"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year ."
1,"Aldata Solution Oyj Bertrand Sciard President and CEO Further information : Aldata Solution Oyj , Bertrand Sciard , President and CEO , tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our business is dedicated to retail and wholesale business improvement ."
1,"The order consists of capacity expansion , maintenance services and new charging functionality , the company said ."
1,"Cargotec 's brands , Hiab , Kalmar and MacGREGOR , are global market leaders in their fields and their solutions are used on land and at sea - wherever cargo is on the move ."
1,"Depending on the market situation , such projects are sold after 1 to 3 years after completion ."
2,"The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits ."
1,Terms were not disclosed .
2,"The growth in the activeness of Talentum 's customers , which started at the end of 2009 , continued during the reporting period , the company stated ."
